#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
990	2.85608	-0.25080	9.62679
991	2.85490	-0.24688	9.46616
992	2.85849	-0.26054	10.02851
993	2.85854	-0.25784	9.91444
994	2.85604	0.22144	7.19558
995	2.85748	-0.26044	10.02839
996	2.85529	-0.25093	9.63501
997	2.85862	-0.25426	9.76282
998	2.85857	-0.25787	9.91559
999	2.85566	-0.25496	9.80351
1000	2.85825	-0.25114	9.63309
1001	2.86043	-0.24875	9.52454
1002	2.85205	-0.24769	9.51047
1003	2.89903	-0.30199	11.62825
1004	2.85796	-0.25909	9.96939
1005	2.85763	-0.25968	9.99550
1006	2.85861	-0.26066	10.03331
1007	2.85682	-0.25703	9.88672
1008	2.85420	-0.25990	10.01825
1009	2.85911	-0.24652	9.43570
1010	2.85573	-0.25320	9.72900
1011	2.85509	-0.24799	9.51192
1012	2.85708	-0.26279	10.12945
1013	2.85748	-0.26044	10.02831
1014	2.85785	-0.25898	9.96511
1015	2.85848	-0.26876	10.37796
1016	2.85743	-0.25216	9.67883
1017	2.87446	-0.27925	10.76029
1018	2.88502	-0.27334	10.46593
1019	2.85716	-0.26469	10.21009
1020	2.85796	-0.24994	9.58344
1021	2.85702	-0.25175	9.66294
1022	2.85857	-0.26336	10.14806
1023	2.85367	0.22106	7.18966
1024	2.85661	-0.25225	9.68557
1025	2.85715	-0.26194	10.09334
1026	2.85910	-0.24467	9.35850
1027	2.85560	-0.25673	9.87845
1028	2.85715	-0.23632	9.01682
1029	2.85461	-0.25941	9.99557
1030	2.85763	-0.26426	10.18965
1031	2.85407	-0.26710	10.32470
1032	2.92276	-0.32297	12.42310
1033	2.85647	-0.24479	9.37301
1034	2.85373	-0.26493	10.23370
1035	2.85870	-0.24977	9.57353
1036	2.85748	-0.25404	9.75774
1037	2.85730	-0.25203	9.67373
1038	2.85862	-0.25975	9.99472
1039	2.86024	-0.26320	10.13460
1040	2.85897	-0.25461	9.77617
1041	2.85851	-0.26421	10.18443
1042	2.85997	-0.26385	10.16318
1043	2.86010	-0.25483	9.78133
1044	2.85293	-0.25223	9.69851
1045	2.85406	-0.25428	9.78086
1046	2.85149	-0.25354	9.75904
1047	2.93265	-0.32188	12.32896
1048	2.85702	-0.24717	9.47059
1049	2.85864	-0.25520	9.80223
1050	2.85358	-0.25106	9.64658
1051	2.85676	-0.24874	9.53738
1052	2.85568	0.22728	7.37227
1053	2.85877	-0.25532	9.80718
1054	2.85715	-0.25096	9.62953
1055	2.85734	-0.25573	9.82969
1056	2.85267	-0.23824	9.11254
1057	2.85523	-0.25910	9.98043
1058	2.85689	-0.25344	9.73484
1059	2.85608	-0.25172	9.66531
1060	2.85735	-0.25665	9.86857
1061	2.86150	-0.26080	10.02801
1062	2.92263	-0.33017	12.73577
1063	2.85354	-0.24826	9.52924
1064	2.85777	-0.25615	9.84600
1065	2.85936	-0.25775	9.90718
1066	2.85420	-0.24984	9.59300
1067	2.85441	-0.24639	9.44758
1068	2.85923	-0.25670	9.86351
1069	2.85864	-0.25154	9.64807
1070	2.85225	-0.25246	9.71097
1071	2.85636	-0.25841	9.94670
1072	2.85588	-0.26433	10.19969
1073	2.85628	-0.25650	9.86607
1074	2.85850	-0.26421	10.18427
1075	2.85608	-0.25630	9.85833
1076	2.91391	-0.31595	12.16166
1077	2.86638	-0.26568	10.21588
1078	2.85809	-0.24916	9.55010
1079	2.85744	-0.25308	9.71745
1080	2.85748	-0.24946	9.56494
1081	2.85702	0.21588	7.02529
1082	2.85675	-0.24965	9.57575
1083	2.85870	-0.25983	9.99795
1084	2.85648	-0.25120	9.64202
1085	2.85715	-0.25462	9.78365
1086	2.85510	-0.25806	9.93663
1087	2.85614	-0.25087	9.62918
1088	2.85649	-0.24664	9.45054
1089	2.86017	-0.25489	9.78380
1090	2.85754	-0.25776	9.91467
1091	2.92156	-0.33275	12.85359
1092	2.85747	-0.26043	10.02807
1093	2.85640	-0.26759	10.33661
1094	2.85527	-0.24268	9.28876
1095	2.85808	-0.27294	10.55798
1096	2.85801	0.20574	6.71529
1097	2.85311	-0.25241	9.70554
1098	2.85508	-0.23334	8.89999
1099	2.85539	-0.24463	9.36995
1100	2.85656	-0.25586	9.83807
1101	2.85494	-0.24326	9.31445
1102	2.85896	-0.26742	10.31879
1103	2.85555	-0.26126	10.07058
1104	2.85634	-0.25015	9.59842
1105	2.85402	-0.24600	9.43257
1106	2.93245	-0.32992	12.67682
1107	2.85442	-0.26104	10.06559
1108	2.85956	-0.24788	9.49119
1109	2.85923	-0.27501	10.64168
1110	2.85656	-0.26684	10.30375
1111	2.85897	-0.25736	9.89225
1112	2.85802	-0.24817	9.50914
1113	2.85683	-0.25887	9.96453
1114	2.85419	-0.25075	9.63129
1115	2.85856	-0.25603	9.83765
1116	2.85860	-0.24784	9.49295
1117	2.86016	-0.26037	10.01518
1118	2.85661	-0.24768	9.49347
1119	2.85707	-0.24997	9.58802
1120	2.86412	-0.27074	10.43969
1121	2.91766	-0.31788	12.22722
1122	2.85894	-0.25367	9.73678
1123	2.85851	-0.25415	9.75855
1124	2.86010	-0.26398	10.16822
1125	2.85770	0.21795	7.08631
1126	2.86002	-0.26298	10.12617
1127	2.85704	-0.25360	9.74086
1128	2.85595	-0.27172	10.51461
1129	2.86036	-0.26058	10.02317
1130	2.85829	-0.26674	10.29287
1131	2.85308	-0.25147	9.66579
1132	2.85881	-0.26635	10.27397
1133	2.85750	-0.25131	9.64279
1134	2.85387	-0.24402	9.35002
1135	2.87945	-0.27875	10.71840
1136	2.89904	-0.29193	11.19755
1137	2.85857	-0.26519	10.22580
1138	2.85548	-0.25296	9.71961
1139	2.85654	-0.26316	10.14746
1140	2.85555	-0.24662	9.45284
1141	2.85969	-0.25624	9.84252
1142	2.85783	-0.26262	10.11946
1143	2.85529	-0.26283	10.13812
1144	2.85862	-0.26250	10.11104
1145	2.85789	-0.26634	10.27741
1146	2.85965	-0.25803	9.91823
1147	2.85326	-0.25256	9.71113
1148	2.85630	-0.25194	9.67372
1149	2.85680	-0.24512	9.38534
1150	2.89587	-0.28785	11.03723
1151	2.85695	-0.26907	10.39717
1152	2.85656	-0.25220	9.68393
1153	2.85494	-0.24509	9.39096
1154	2.85802	0.24416	7.87072
1155	2.85240	-0.24713	9.48568
1156	2.85849	-0.25870	9.95089
1157	2.85293	-0.24308	9.31386
1158	2.85515	-0.26269	10.13283
1159	2.85279	-0.26216	10.11956
1160	2.85708	-0.26096	10.05189
1161	2.84804	-0.25558	9.85864
1162	2.85352	-0.25191	9.68276
1163	2.85603	-0.24343	9.31772
1164	2.88867	-0.28889	11.11213
1165	2.85714	-0.25645	9.86067
1166	2.85582	-0.25604	9.84834
1167	2.85461	-0.24934	9.57056
1168	2.85985	-0.25732	9.88716
1169	2.85861	-0.25242	9.68558
1170	2.85783	-0.25438	9.77109
1171	2.85695	-0.25168	9.66038
1172	2.85763	-0.26151	10.07296
