#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
557	2.60300	-0.00047	0.01812
558	2.74836	0.30166	9.89055
559	2.60308	-0.00147	0.05648
560	2.60348	0.00820	0.31407
561	2.60314	-0.00518	0.19958
562	2.60311	0.01131	0.43279
563	2.60337	-0.00175	0.06741
564	2.60313	-0.01433	0.55342
565	2.60333	0.00560	0.21480
566	2.60298	-0.00594	0.22870
567	2.60308	0.00219	0.08410
568	2.60341	-0.00820	0.31600
569	2.60324	-0.00437	0.16818
570	2.60312	0.00215	0.08270
571	2.60332	-0.00628	0.24177
572	2.62684	-0.04262	1.64909
573	2.66017	-0.03934	1.50107
574	2.60301	0.00684	0.26227
575	2.60331	-0.00261	0.10051
576	2.60336	0.00375	0.14369
577	2.60322	0.00663	0.25418
578	2.60320	0.02495	0.94951
579	2.60309	-0.00239	0.09204
580	2.60334	0.00926	0.35425
581	2.60315	0.00213	0.08164
582	2.60307	-0.00695	0.26774
583	2.60290	0.01518	0.57988
584	2.60317	-0.01528	0.59040
585	2.60320	-0.00525	0.20205
586	2.60313	-0.00518	0.19940
587	2.68510	0.38598	12.56811
588	2.60318	-0.00432	0.16606
589	2.60317	0.00851	0.32566
590	2.60320	-0.00067	0.02588
591	2.60302	0.00225	0.08639
592	2.60331	0.00379	0.14545
593	2.60306	0.00039	0.01492
594	2.60303	-0.01515	0.58526
595	2.60329	0.01113	0.42577
596	2.60311	-0.00241	0.09274
597	2.60301	-0.01237	0.47760
598	2.60297	-0.01325	0.51169
599	2.60316	-0.00886	0.34166
600	2.60303	0.00773	0.29617
601	2.61330	-0.02266	0.87480
602	2.73837	-0.14225	5.47932
603	2.60305	-0.00967	0.37300
604	2.60330	-0.00810	0.31194
605	2.60296	0.00963	0.36865
606	2.60302	-0.00873	0.33636
607	2.60322	-0.00252	0.09680
608	2.60340	0.00920	0.35197
609	2.60302	0.00500	0.19157
610	2.60300	-0.00596	0.22958
611	2.60341	0.00644	0.24662
612	2.60323	-0.00070	0.02676
613	2.60327	-0.00257	0.09874
614	2.60308	0.00403	0.15442
615	2.60311	-0.00149	0.05736
616	2.68651	0.40561	13.11756
617	2.66499	-0.06796	2.61665
618	2.60319	0.00117	0.04494
619	2.60329	0.00290	0.11109
620	2.60315	0.00304	0.11672
621	2.60314	-0.00427	0.16429
622	2.60310	0.00309	0.11848
623	2.60300	0.00868	0.33234
624	2.60329	0.00564	0.21620
625	2.60295	0.00232	0.08921
626	2.60331	-0.00170	0.06530
627	2.60324	-0.00071	0.02747
628	2.60304	-0.00691	0.26633
629	2.60297	-0.00044	0.01706
630	2.60304	0.00315	0.12077
631	2.72929	-0.10754	4.10195
632	2.62224	-0.03160	1.21994
