#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
376	2.88144	0.06792	2.30295
377	2.87276	0.06745	2.29392
378	2.87558	0.05731	1.95415
379	2.86833	0.08103	2.74734
380	2.86518	0.07961	2.70342
381	2.87711	0.06585	2.23745
382	2.86775	0.07429	2.52499
383	2.87207	0.06448	2.19588
384	2.88411	0.05793	1.96908
385	2.87206	0.06998	2.37857
386	2.88143	0.06884	2.33341
387	2.88246	0.06233	2.11656
388	2.87419	0.05687	1.94035
389	2.88282	0.04915	1.67648
390	2.87559	0.07377	2.50111
391	2.88039	0.06989	2.36886
392	2.88116	0.05447	1.85550
393	2.88599	0.04964	1.69110
394	2.88247	0.05408	1.84156
395	2.87767	0.06162	2.09650
396	2.88809	0.06951	2.35009
397	2.88003	0.05377	1.83274
398	2.87089	0.06840	2.32719
399	2.87019	0.05995	2.04609
400	2.87279	0.07657	2.59631
401	2.87745	0.07282	2.46838
402	2.87955	0.05883	2.00200
403	2.88176	0.05479	1.86577
404	2.87492	0.06895	2.34217
405	2.87883	0.05040	1.72043
406	2.88315	0.05431	1.84902
407	2.87442	0.06396	2.17670
408	2.88600	0.04780	1.62930
409	2.87415	0.06149	2.09444
410	2.87793	0.06137	2.08776
411	2.88164	0.06406	2.17485
412	2.88482	0.05905	2.00572
413	2.88665	0.04990	1.69939
414	2.88143	0.05786	1.96851
415	2.88693	0.05603	1.90385
416	2.88387	0.04902	1.67150
417	2.88305	0.04618	1.57650
418	2.89487	0.04168	1.41944
419	2.88176	0.05387	1.83502
420	2.88667	0.05812	1.97354
421	2.88215	0.05531	1.88307
422	2.88338	0.04310	1.47288
423	2.88027	0.04804	1.64052
424	2.88880	0.04043	1.38010
425	2.87275	0.06013	2.05035
426	2.86377	0.07736	2.63021
427	2.86650	0.06456	2.20267
428	2.87929	0.05086	1.73562
429	2.88133	0.06163	2.09403
430	2.88117	0.04806	1.64055
431	2.87021	0.07274	2.47174
432	2.87255	0.06491	2.20979
433	2.87650	0.06371	2.16692
434	2.88153	0.05685	1.93470
435	2.87818	0.05380	1.83483
436	2.86622	0.07307	2.48607
437	2.87323	0.06881	2.33896
438	2.87932	0.05814	1.97927
439	2.88551	0.04921	1.67685
440	2.88120	0.05992	2.03732
441	2.87556	0.06007	2.04631
442	2.87698	0.05133	1.75301
443	2.87275	0.06654	2.26382
444	2.86929	0.05720	1.95445
445	2.88200	0.06370	2.16254
446	2.87885	0.05861	1.99536
447	2.88142	0.05696	1.93861
448	2.88295	0.05817	1.97789
449	2.88596	0.04785	1.63086
450	2.88423	0.03676	1.25846
451	2.88809	0.04297	1.46610
452	2.87651	0.04632	1.58461
453	2.87896	0.06216	2.11359
454	2.86658	0.07454	2.53443
455	2.88365	0.04924	1.67900
456	2.88002	0.04921	1.67986
457	2.88621	0.03569	1.22156
458	2.86927	0.05264	1.80155
459	2.87348	0.06399	2.17824
